iter	Passed	Remaining
0	1	1622
1	3	1538
2	4	1432
3	5	1360
4	6	1340
5	8	1349
6	9	1337
7	10	1332
8	11	1320
9	13	1312
10	14	1314
11	15	1308
12	17	1360
13	19	1355
14	20	1348
15	21	1338
16	23	1336
17	24	1326
18	25	1321
19	26	1317
20	28	1312
21	29	1312
22	30	1313
23	32	1335
24	34	1354
25	36	1349
26	37	1345
27	38	1340
28	39	1334
29	41	1327
30	42	1322
31	44	1344
32	45	1341
33	48	1366
34	49	1364
35	50	1362
36	52	1358
37	53	1359
38	55	1356
39	56	1351
40	57	1350
41	59	1346
42	60	1343
43	61	1346
44	63	1340
45	64	1331
46	65	1322
47	66	1313
48	67	1310
49	68	1308
50	70	1304
51	71	1299
52	72	1296
53	73	1294
54	75	1291
55	77	1304
56	78	1303
57	79	1295
58	80	1288
59	81	1282
60	83	1278
61	84	1275
62	85	1274
63	86	1270
64	88	1269
65	89	1265
66	90	1263
67	92	1263
68	93	1259
69	94	1259
70	95	1255
71	97	1253
72	98	1250
73	99	1247
74	101	1245
75	102	1242
76	103	1240
77	104	1237
78	105	1235
79	107	1233
80	108	1228
81	109	1223
82	109	1213
83	111	1210
84	112	1211
85	113	1209
86	115	1206
87	116	1204
88	117	1203
89	118	1201
90	120	1203
91	121	1201
92	123	1200
93	124	1197
94	125	1194
95	126	1194
96	127	1191
97	129	1190
98	130	1188
99	131	1185
100	133	1184
101	134	1182
102	136	1184
103	137	1183
104	138	1182
105	140	1181
106	141	1180
107	142	1179
108	143	1176
109	145	1174
110	146	1172
111	147	1171
112	149	1170
113	151	1180
114	153	1178
115	154	1176
116	155	1174
117	157	1174
118	158	1173
119	159	1171
120	161	1169
121	162	1168
122	163	1167
123	165	1171
124	167	1170
125	168	1169
126	169	1166
127	171	1164
128	172	1164
129	173	1162
130	174	1160
131	176	1157
132	177	1156
133	178	1155
134	181	1160
135	182	1159
136	183	1157
137	185	1156
138	186	1154
139	187	1152
140	189	1151
141	189	1147
142	191	1146
143	192	1143
144	193	1141
145	195	1143
146	196	1140
147	197	1138
148	199	1137
149	200	1136
150	201	1134
151	203	1133
152	204	1131
153	205	1128
154	206	1126
155	207	1124
156	210	1129
157	211	1128
158	213	1126
159	214	1124
160	215	1120
161	216	1118
162	217	1115
163	218	1114
164	219	1112
165	221	1110
166	222	1109
167	223	1107
168	225	1106
169	226	1107
170	227	1105
171	229	1102
172	230	1100
173	231	1099
174	232	1097
175	233	1095
176	235	1093
177	236	1091
178	237	1089
179	239	1089
180	240	1089
181	242	1087
182	243	1085
183	244	1084
184	245	1082
185	246	1080
186	248	1078
187	249	1078
188	250	1076
189	252	1075
190	254	1075
191	255	1074
192	256	1072
193	257	1069
194	258	1067
195	259	1066
196	261	1065
197	262	1063
198	263	1061
199	265	1060
200	266	1058
201	267	1056
202	269	1056
203	270	1054
204	271	1052
205	272	1049
206	273	1047
207	274	1046
208	275	1044
209	277	1042
210	278	1041
211	279	1040
212	281	1038
213	282	1036
214	283	1036
215	285	1034
216	286	1032
217	286	1029
218	288	1027
219	289	1025
220	290	1024
221	291	1022
222	292	1020
223	294	1019
224	295	1017
225	296	1016
226	298	1016
227	299	1014
228	300	1012
229	302	1011
230	303	1009
231	304	1008
232	306	1007
233	307	1005
234	308	1004
235	309	1003
236	311	1002
237	312	1001
238	314	1000
239	315	998
240	316	997
241	317	995
242	318	992
243	320	992
244	321	990
245	322	989
246	324	987
247	325	986
248	326	984
249	328	986
250	330	985
251	331	983
252	332	981
253	333	980
254	335	979
255	336	977
256	337	975
257	338	973
258	339	972
259	341	970
260	342	970
261	344	969
262	345	968
263	346	966
264	347	964
265	349	963
266	350	961
267	351	960
268	352	959
269	354	958
270	355	956
271	357	955
272	358	954
273	359	952
274	360	951
275	362	950
276	363	948
277	364	947
278	366	946
279	367	944
280	368	943
281	370	942
282	371	941
283	373	940
284	374	938
285	375	937
286	376	935
287	377	934
288	379	933
289	380	931
290	381	929
291	382	928
292	384	926
293	385	925
294	386	924
295	388	923
296	389	921
297	390	920
298	392	919
299	393	917
300	394	916
301	395	914
302	396	912
303	398	911
304	399	909
305	400	908
306	401	907
307	403	905
308	404	904
309	405	902
310	406	900
311	407	898
312	409	897
313	410	896
314	411	895
315	412	893
316	414	892
317	415	890
318	416	889
319	417	888
320	419	886
321	420	885
322	421	883
323	423	882
324	424	881
325	425	879
326	426	878
327	428	876
328	429	875
329	430	874
330	432	873
331	433	871
332	434	870
333	435	869
334	437	867
335	438	866
336	439	864
337	440	863
338	442	861
339	443	860
340	444	858
341	445	857
342	447	856
343	448	854
344	449	853
345	451	852
346	452	851
347	453	849
348	454	848
349	455	846
350	457	845
351	458	843
352	459	842
353	461	841
354	462	840
355	463	839
356	465	837
357	466	836
358	467	835
359	468	833
360	469	831
361	470	829
362	471	828
363	473	826
364	474	825
365	476	824
366	477	823
367	478	821
368	479	820
369	481	819
370	482	818
371	484	817
372	485	816
373	486	814
374	488	813
375	490	813
376	491	812
377	492	810
378	494	809
379	495	808
380	496	806
381	497	805
382	499	804
383	500	803
384	501	801
385	503	800
386	504	799
387	506	798
388	507	797
389	508	795
390	509	794
391	511	792
392	512	791
393	513	789
394	514	788
395	516	787
396	517	785
397	518	783
398	519	783
399	521	781
400	522	780
401	523	778
402	524	777
403	526	776
404	527	774
405	528	773
406	529	771
407	530	770
408	532	768
409	534	768
410	535	767
411	536	766
412	538	764
413	539	763
414	540	761
415	541	760
416	542	759
417	544	757
418	545	756
419	546	754
420	547	752
421	548	751
422	550	750
423	551	749
424	552	747
425	553	746
